#Sequence name  length  span(s) apparent source
scaffold10004	653	378..653	mitochondrion-not_cleaned
scaffold10017	770	1..251	mitochondrion-not_cleaned
scaffold10018	570	1..355	mitochondrion-not_cleaned
scaffold1015	582	389..582	mitochondrion-not_cleaned
scaffold10169	574	1..109	Bacillus amyloliquefaciens LFB112-not_cleaned
scaffold10278	828	104..611	mitochondrion-not_cleaned
scaffold10327	706	214..521	mitochondrion-not_cleaned
scaffold10397	686	1..253	mitochondrion-not_cleaned
scaffold10483	573	1..138,426..573	mitochondrion-not_cleaned
scaffold10517	640	1..177	mitochondrion-not_cleaned
scaffold10634	4118744	1825861..1826107	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10653	723	1..193	mitochondrion-not_cleaned
scaffold10695	14393919	2447872..2448044	mitochondrion-not_cleaned
scaffold10835	690	1..201	mitochondrion-not_cleaned
scaffold10836	749	1..342	mitochondrion-not_cleaned
scaffold1096	740	344..651	mitochondrion-not_cleaned
scaffold11026	594	1..148	mitochondrion-not_cleaned
scaffold11031	670	362..670	mitochondrion-not_cleaned
scaffold11032	872	740..872	mitochondrion-not_cleaned
scaffold11041	723	597..723	mitochondrion-not_cleaned
scaffold11106	775	430..775	mitochondrion-not_cleaned
scaffold11122	794	1..326	mitochondrion-not_cleaned
scaffold11133	599	264..599	mitochondrion-not_cleaned
scaffold1117	38466	1..9707,34815..38466	vector/etc,Enterobacter cloacae EcWSU1-not_cleaned
scaffold11347	579	359..579	mitochondrion-not_cleaned
scaffold1149	6144	1..709,4131..6144	Enterobacter cloacae EcWSU1-not_cleaned
scaffold11595	609	1..321	mitochondrion-not_cleaned
scaffold11644	766	1..175,471..766	mitochondrion-not_cleaned
scaffold11727	717	578..717	mitochondrion-not_cleaned
scaffold11792	753	1..175,471..753	mitochondrion-not_cleaned
scaffold11845	824	1..555	mitochondrion-not_cleaned
scaffold11868	2118726	220545..220714,2006532..2006651	vector/etc
scaffold11884	628	1..302	mitochondrion-not_cleaned
scaffold11923	952	1..173	Clostridium tetani 12124569-not_cleaned
scaffold11937	664	462..664	mitochondrion-not_cleaned
scaffold12042	786	1..220	mitochondrion-not_cleaned
scaffold12120	6832	1..2389	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12129	800	1..300	mitochondrion-not_cleaned
scaffold12149	747	1..159	mitochondrion-not_cleaned
scaffold12161	15202	4370..13900	Pseudomonas stutzeri-not_cleaned
scaffold12307	7766320	2906497..2906650	mitochondrion-not_cleaned
scaffold12318	736	1..300	mitochondrion-not_cleaned
scaffold12322	645	1..240	mitochondrion-not_cleaned
scaffold12402	603	1..170	mitochondrion-not_cleaned
scaffold12444	606	1..314	mitochondrion-not_cleaned
scaffold12481	540	1..160	mitochondrion-not_cleaned
scaffold12577	554	418..554	mitochondrion-not_cleaned
scaffold12583	732	1..488	mitochondrion-not_cleaned
scaffold12626	571	114..341	mitochondrion-not_cleaned
scaffold12640	630	1..206	mitochondrion-not_cleaned
scaffold12716	739	1..460	mitochondrion-not_cleaned
scaffold12868	571	1..243	mitochondrion-not_cleaned
scaffold1288	686	542..686	mitochondrion-not_cleaned
scaffold12894	601	378..601	mitochondrion-not_cleaned
scaffold129	1583624	520142..521413	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12919	660	1..321	mitochondrion-not_cleaned
scaffold12971	820	559..820	mitochondrion-not_cleaned
scaffold13072	17297006	618417..628328,14220113..14220418,14468729..14469015,14801830..14810611	mitochondrion/etc
scaffold13089	635	1..223	mitochondrion-not_cleaned
scaffold13151	608	1..330	mitochondrion-not_cleaned
scaffold13182	582	1..334	mitochondrion-not_cleaned
scaffold13229	716	1..155,551..716	mitochondrion-not_cleaned
scaffold13251	675	324..675	mitochondrion-not_cleaned
scaffold13296	598	1..127	mitochondrion-not_cleaned
scaffold13331	779	1..247,543..779	mitochondrion-not_cleaned
scaffold13363	744	361..744	mitochondrion-not_cleaned
scaffold13385	612	1..177	mitochondrion-not_cleaned
scaffold13401	574	264..574	mitochondrion-not_cleaned
scaffold13440	599	1..198	mitochondrion-not_cleaned
scaffold13447	531	235..531	mitochondrion-not_cleaned
scaffold13576	17709779	3176658..3176857,3220306..3220701,3393799..3393932,3394059..3399274,3446105..3446152,3454786..3459464,3511110..3511201,3511363..3511723,3630080..3630290,4021514..4021590,4066800..4067928,4101114..4102576,4110736..4111660,4111671..7360362	vector/etc
scaffold13643	696	1..125,521..696	mitochondrion-not_cleaned
scaffold13729	573	1..151	mitochondrion-not_cleaned
scaffold13791	693	534..693	mitochondrion-not_cleaned
scaffold13810	760	435..760	mitochondrion-not_cleaned
scaffold13839	671	1..266	mitochondrion-not_cleaned
scaffold13857	654	230..654	mitochondrion-not_cleaned
scaffold13937	579	340..579	mitochondrion-not_cleaned
scaffold13941	641	1..136	mitochondrion-not_cleaned
scaffold13944	2368	1..895	Enterobacter cloacae EcWSU1-not_cleaned
scaffold13946	604	1..158	mitochondrion-not_cleaned
scaffold14008	626	1..215	mitochondrion-not_cleaned
scaffold14009	564	1..153	mitochondrion-not_cleaned
scaffold14102	592	1..325	mitochondrion-not_cleaned
scaffold14434	620	284..620	mitochondrion-not_cleaned
scaffold14604	654	1..214	mitochondrion-not_cleaned
scaffold14709	725	1..337	mitochondrion-not_cleaned
