#Sequence name  length  apparent source
scaffold10008	550	vector/etc-not_cleaned
scaffold10021	4618	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10038	6375	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10040	2620	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10042	15930	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10051	1479	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10055	5602	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10059	4780	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10082	582	vector/etc-not_cleaned
scaffold10086	3384	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10091	672	vector/etc-not_cleaned
scaffold10102	2865	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10108	2540	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10113	1912	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10114	473	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10116	8454	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10167	2910	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10168	1309	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10433	1697	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10454	550	vector/etc-not_cleaned
scaffold10502	708	vector/etc-not_cleaned
scaffold10537	4254	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10547	626	vector/etc-not_cleaned
scaffold10556	628	vector/etc-not_cleaned
scaffold10557	273	vector/etc-not_cleaned
scaffold10605	4118	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10614	609	vector/etc-not_cleaned
scaffold10657	615	vector/etc-not_cleaned
scaffold10666	587	vector/etc-not_cleaned
scaffold10683	3557	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10722	12154	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10776	4817	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10778	2066	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10862	1495	Enterobacter cloacae EcWSU1-not_cleaned
scaffold10985	1527	vector/etc-not_cleaned
scaffold11066	387	Clostridium beijerinckii NCIMB 8052-not_cleaned
scaffold11078	2694	Enterobacter cloacae EcWSU1-not_cleaned
scaffold11116	641	vector/etc-not_cleaned
scaffold11136	2994	Enterobacter cloacae EcWSU1-not_cleaned
scaffold11344	6444	Enterobacter cloacae EcWSU1-not_cleaned
scaffold11440	3267	Enterobacter cloacae EcWSU1-not_cleaned
scaffold11490	283	Enterobacter cloacae EcWSU1-not_cleaned
scaffold11617	602	vector/etc-not_cleaned
scaffold11624	656	vector/etc-not_cleaned
scaffold11648	627	vector/etc-not_cleaned
scaffold11657	11746	Enterobacter cloacae EcWSU1-not_cleaned
scaffold11676	516	Azospirillum lipoferum 4B-not_cleaned
scaffold11710	720	Enterobacter cloacae EcWSU1-not_cleaned
scaffold11779	3191	Enterobacter cloacae EcWSU1-not_cleaned
scaffold11791	4423	Enterobacter cloacae EcWSU1-not_cleaned
scaffold11810	659	vector/etc-not_cleaned
scaffold1185	1890	Enterobacter cloacae EcWSU1-not_cleaned
scaffold11898	634	vector/etc-not_cleaned
scaffold11909	1445	Enterobacter cloacae EcWSU1-not_cleaned
scaffold11956	656	vector/etc-not_cleaned
scaffold11998	3572	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12002	680	vector/etc-not_cleaned
scaffold12015	8766	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12027	10737	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12060	4862	Enterobacter cloacae EcWSU1-not_cleaned
scaffold1207	967	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12146	557	vector/etc-not_cleaned
scaffold12214	992	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12309	537	vector/etc-not_cleaned
scaffold12311	823	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12349	5196	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12382	288	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12398	4238	Enterobacter cloacae EcWSU1-not_cleaned
scaffold1244	8049	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12454	617	vector/etc-not_cleaned
scaffold12455	672	vector/etc-not_cleaned
scaffold12482	3144	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12507	9443	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12508	641	vector/etc-not_cleaned
scaffold1252	8014	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12533	622	vector/etc-not_cleaned
scaffold12534	538	vector/etc-not_cleaned
scaffold12542	12349	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12548	597	vector/etc-not_cleaned
scaffold12554	1915	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12578	548	Azospirillum lipoferum 4B-not_cleaned
scaffold12590	656	vector/etc-not_cleaned
scaffold12600	2003357	Agrobacterium fabacearum-not_cleaned
scaffold12607	3912	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12608	3352	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12612	3672	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12615	1944	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12619	257	vector/etc-not_cleaned
scaffold12655	1298	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12659	3369	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12664	273	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12676	7779	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12677	1192	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12684	11989	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12715	748	Enterobacter cloacae EcWSU1-not_cleaned
scaffold12762	2991	Enterobacter cloacae EcWSU1-not_cleaned
